Rank,NOC,Gold,Silver,Bronze,Total,Year,player0_num,player1_num,player2_num
6,CHE,7,4,4,15,1928,0,0,0
7,FRA,6,10,5,21,1928,335,55,32
8,NLD,6,9,4,19,1928,0,0,0
9,HUN,4,5,0,9,1928,128,30,61
10,CAN,4,4,7,15,1928,50,40,23
11,GBR,3,10,7,20,1928,257,75,22
12,ARG,3,3,1,7,1928,68,30,0
13,DNK,3,1,2,6,1928,0,0,0
15,JPN,2,2,1,5,1928,35,17,4
18,AUT,2,0,1,3,1928,104,5,4
19,AUS,1,2,1,4,1928,22,3,4
19,NOR,1,2,1,4,1928,62,15,2
21,POL,1,1,3,5,1928,107,39,0
23,ZAF,1,0,2,3,1928,0,0,0
24,IND,1,0,0,1,1928,10,9,5
24,IRL,1,0,0,1,1928,42,1,1
24,NZL,1,0,0,1,1928,12,1,0
29,BEL,0,1,2,3,1928,223,30,7
32,PRT,0,0,1,1,1928,0,0,0
1,USA,44,36,30,110,1932,456,203,84
2,ITA,12,12,12,36,1932,56,51,47
3,FRA,11,5,4,20,1932,90,40,29
4,SWE,10,5,9,24,1932,69,34,25
5,JPN,7,7,4,18,1932,168,25,10
6,HUN,6,5,5,16,1932,47,40,31
7,DEU,5,12,7,24,1932,0,0,0
8,FIN,5,8,12,25,1932,11,32,23
9,GBR,5,7,5,17,1932,105,45,20
10,POL,3,2,4,9,1932,40,27,4
11,AUS,3,1,1,5,1932,10,5,5
12,ARG,3,1,0,4,1932,41,6,0
13,CAN,2,5,9,16,1932,90,89,12
14,NLD,2,5,1,8,1932,0,0,0
15,ZAF,2,0,3,5,1932,0,0,0
16,IRL,2,0,0,2,1932,14,3,1
18,AUT,1,1,3,5,1932,18,5,10
19,IND,1,0,0,1,1932,10,9,7
20,DNK,0,5,3,8,1932,0,0,0
21,MEX,0,2,0,2,1932,98,2,0
22,NZL,0,1,0,1,1932,21,8,0
22,CHE,0,1,0,1,1932,0,0,0
26,BEL,0,0,1,1,1932,66,3,0
1,DEU,38,31,32,101,1936,0,0,0
2,USA,24,21,12,57,1936,289,150,48
3,HUN,10,1,5,16,1936,248,58,29
4,ITA,9,13,5,27,1936,225,86,38
5,FIN,8,6,6,20,1936,92,61,33
6,FRA,7,6,6,19,1936,235,37,31
7,SWE,6,5,10,21,1936,169,43,19
8,JPN,6,4,10,20,1936,292,25,8
9,NLD,6,4,7,17,1936,0,0,0
10,AUT,5,7,5,17,1936,302,58,3
11,CHE,4,9,5,18,1936,0,0,0
12,GBR,4,7,3,14,1936,184,57,9
14,ARG,2,2,3,7,1936,45,22,1
17,CAN,1,3,5,9,1936,123,39,5
18,NOR,1,3,2,6,1936,49,32,3
19,,1,0,1,2,1936,0,0,0
20,IND,1,0,0,1,1936,11,14,5
20,NZL,1,0,0,1,1936,8,1,0
22,POL,0,4,5,9,1936,148,26,3
23,DNK,0,2,3,5,1936,0,0,0
25,ROU,0,1,0,1,1936,116,2,0
25,ZAF,0,1,0,1,1936,0,0,0
28,BEL,0,0,3,3,1936,169,32,4
28,MEX,0,0,3,3,1936,15,17,0
30,AUS,0,0,1,1,1936,32,5,2
30,PRT,0,0,1,1,1936,0,0,0
1,USA,38,27,19,84,1948,209,134,81
2,SWE,16,11,17,44,1948,117,75,31
3,FRA,10,6,13,29,1948,325,83,25
4,HUN,10,5,12,27,1948,75,96,51
5,ITA,8,11,8,27,1948,211,61,38
6,FIN,8,7,5,20,1948,123,34,58
7,,6,4,2,12,1948,0,0,0
9,CHE,5,10,5,20,1948,0,0,0
10,DNK,5,7,8,20,1948,0,0,0
11,NLD,5,2,9,16,1948,0,0,0
12,GBR,3,14,6,23,1948,473,110,7
13,ARG,3,3,1,7,1948,276,19,0
14,AUS,2,6,5,13,1948,74,18,11
15,BEL,2,2,3,7,1948,156,24,2
17,MEX,2,1,2,5,1948,133,7,9
18,ZAF,2,1,1,4,1948,0,0,0
19,NOR,1,3,3,7,1948,75,15,7
20,JAM,1,2,0,3,1948,15,3,8
21,AUT,1,0,3,4,1948,229,7,3
22,IND,1,0,0,1,1948,67,12,10
25,CAN,0,1,2,3,1948,169,19,0
26,PRT,0,1,1,2,1948,0,0,0
32,,0,0,2,2,1948,0,0,0
34,,0,0,1,1,1948,0,0,0
34,POL,0,0,1,1,1948,48,4,0
1,USA,40,19,17,76,1952,235,144,72
3,HUN,16,10,16,42,1952,136,91,118
4,SWE,12,13,10,35,1952,198,97,60
5,ITA,8,9,4,21,1952,280,59,37
7,FRA,6,6,6,18,1952,326,59,23
8,FIN,6,3,13,22,1952,295,74,43
9,AUS,6,2,3,11,1952,102,23,15
10,NOR,3,2,0,5,1952,164,22,4
11,CHE,2,6,6,14,1952,0,0,0
12,ZAF,2,4,4,10,1952,0,0,0
13,JAM,2,3,0,5,1952,6,2,8
14,BEL,2,2,0,4,1952,163,17,4
15,DNK,2,1,3,6,1952,0,0,0
16,,2,0,1,3,1952,0,0,0
17,JPN,1,6,2,9,1952,98,19,16
18,GBR,1,2,8,11,1952,329,64,8
19,ARG,1,2,2,5,1952,162,12,0
20,POL,1,2,1,4,1952,206,36,6
21,CAN,1,2,0,3,1952,141,13,0
23,ROU,1,1,2,4,1952,231,8,2
24,NZL,1,0,2,3,1952,15,5,0
26,IND,1,0,1,2,1952,78,6,10
28,DEU,0,7,17,24,1952,0,0,0
29,NLD,0,5,0,5,1952,0,0,0
30,,0,3,4,7,1952,0,0,0
32,AUT,0,1,1,2,1952,229,8,1
34,IRL,0,1,0,1,1952,24,1,0
34,MEX,0,1,0,1,1952,78,3,4
37,,0,0,2,2,1952,0,0,0
40,BGR,0,0,1,1,1952,0,0,0
40,PRT,0,0,1,1,1952,0,0,0
2,USA,32,25,17,74,1956,259,109,75
3,AUS,13,8,14,35,1956,309,74,29
4,HUN,9,10,7,26,1956,67,52,78
5,ITA,8,8,9,25,1956,134,38,35
6,SWE,8,5,6,19,1956,73,60,53
8,GBR,6,7,11,24,1956,186,90,7
9,ROU,5,3,5,13,1956,42,55,6
10,JPN,4,10,5,19,1956,154,33,35
11,FRA,4,4,6,14,1956,161,43,23
12,,3,2,2,7,1956,0,0,0
13,FIN,3,1,11,15,1956,63,76,8
14,,2,2,1,5,1956,0,0,0
15,CAN,2,1,3,6,1956,120,25,5
16,NZL,2,0,0,2,1956,51,6,0
17,POL,1,4,4,9,1956,42,66,10
19,BGR,1,3,1,5,1956,0,0,0
20,DNK,1,2,1,4,1956,0,0,0
21,IRL,1,1,3,5,1956,18,7,0
22,NOR,1,0,2,3,1956,19,8,2
23,MEX,1,0,1,2,1956,30,4,2
24,IND,1,0,0,1,1956,61,7,11
28,BEL,0,2,0,2,1956,77,4,1
29,ARG,0,1,1,2,1956,40,4,0
29,,0,1,1,2,1956,0,0,0
33,ZAF,0,0,4,4,1956,0,0,0
34,AUT,0,0,2,2,1956,49,7,1
35,GRC,0,0,1,1,1956,0,0,0
35,CHE,0,0,1,1,1956,0,0,0
2,USA,34,21,16,71,1960,250,94,84
3,ITA,13,10,13,36,1960,249,100,53
5,AUS,8,8,6,22,1960,187,65,28
6,,7,2,0,9,1960,0,0,0
7,HUN,6,8,7,21,1960,195,64,53
8,JPN,4,7,7,18,1960,179,46,53
9,POL,4,6,11,21,1960,226,58,23
11,ROU,3,1,6,10,1960,97,52,7
12,GBR,2,6,12,20,1960,311,65,13
13,DNK,2,3,1,6,1960,0,0,0
14,NZL,2,0,1,3,1960,39,7,1
15,BGR,1,3,3,7,1960,0,0,0
16,SWE,1,2,3,6,1960,221,12,25
17,FIN,1,1,3,5,1960,175,42,2
18,AUT,1,1,0,2,1960,190,7,1
21,GRC,1,0,0,1,1960,0,0,0
21,NOR,1,0,0,1,1960,43,6,1
24,CHE,0,3,3,6,1960,0,0,0
25,FRA,0,2,3,5,1960,308,42,13
26,BEL,0,2,2,4,1960,142,8,0
27,,0,1,3,4,1960,0,0,0
28,NLD,0,1,2,3,1960,0,0,0
28,ZAF,0,1,2,3,1960,0,0,0
30,ARG,0,1,1,2,1960,110,6,0
32,CAN,0,1,0,1,1960,117,18,5
32,IND,0,1,0,1,1960,36,4,9
32,MAR,0,1,0,1,1960,109,2,0
32,PRT,0,1,0,1,1960,0,0,0
41,MEX,0,0,1,1,1960,102,7,1
1,USA,36,26,28,90,1964,264,134,94
3,JPN,16,5,8,29,1964,306,95,55
5,ITA,10,10,7,27,1964,129,79,48
6,HUN,10,7,5,22,1964,217,61,41
7,POL,7,6,10,23,1964,159,52,29
8,AUS,6,2,10,18,1964,306,67,19
10,GBR,4,12,2,18,1964,221,68,12
11,BGR,3,5,2,10,1964,0,0,0
12,FIN,3,0,2,5,1964,104,46,1
12,NZL,3,0,2,5,1964,76,8,4
14,ROU,2,4,6,12,1964,170,53,9
15,NLD,2,4,4,10,1964,0,0,0
16,,2,3,1,6,1964,0,0,0
17,SWE,2,2,4,8,1964,138,19,18
18,DNK,2,1,3,6,1964,0,0,0
20,BEL,2,0,1,3,1964,67,7,0
21,FRA,1,8,6,15,1964,155,45,14
22,CAN,1,2,1,4,1964,172,22,0
22,CHE,1,2,1,4,1964,0,0,0
24,IND,1,0,0,1,1964,94,6,11
27,,0,2,1,3,1964,0,0,0
30,ARG,0,1,0,1,1964,139,9,0
34,,0,0,2,2,1964,0,0,0
35,IRL,0,0,1,1,1964,30,5,0
35,KEN,0,0,1,1,1964,32,5,4
35,MEX,0,0,1,1,1964,111,14,3
1,USA,45,28,34,107,1968,291,112,126
3,JPN,11,7,7,25,1968,177,51,61
4,HUN,10,10,12,32,1968,169,87,47
6,FRA,7,3,5,15,1968,247,48,16
9,AUS,5,7,5,17,1968,127,76,21
10,GBR,5,5,3,13,1968,259,53,16
11,POL,5,2,11,18,1968,220,58,18
12,ROU,4,6,5,15,1968,58,33,9
13,ITA,3,4,9,16,1968,161,63,44
14,KEN,3,4,2,9,1968,26,11,13
15,MEX,3,3,3,9,1968,402,29,15
17,NLD,3,3,1,7,1968,0,0,0
18,BGR,2,4,3,9,1968,0,0,0
19,,2,1,2,5,1968,0,0,0
20,SWE,2,1,1,4,1968,143,27,16
21,,2,0,0,2,1968,0,0,0
22,DNK,1,4,3,8,1968,0,0,0
23,CAN,1,3,1,5,1968,249,35,7
24,FIN,1,2,1,4,1968,100,25,1
25,NOR,1,1,0,2,1968,78,3,5
27,NZL,1,0,2,3,1968,51,10,4
32,AUT,0,2,2,4,1968,51,8,0
33,CHE,0,1,4,5,1968,0,0,0
36,BEL,0,1,1,2,1968,98,8,0
36,,0,1,1,2,1968,0,0,0
39,JAM,0,1,0,1,1968,33,2,0
41,ARG,0,0,2,2,1968,128,4,0
42,GRC,0,0,1,1,1968,0,0,0
42,IND,0,0,1,1,1968,11,11,5
2,USA,33,31,30,94,1972,312,138,128
5,JPN,13,8,8,29,1972,200,37,56
6,AUS,8,7,2,17,1972,191,54,21
7,POL,7,5,9,21,1972,310,86,22
8,HUN,6,13,16,35,1972,197,124,46
9,BGR,6,10,5,21,1972,0,0,0
10,ITA,5,3,10,18,1972,282,32,31
11,SWE,4,6,6,16,1972,135,35,16
12,GBR,4,5,9,18,1972,350,64,19
13,ROU,3,6,7,16,1972,182,64,12
14,FIN,3,1,4,8,1972,111,20,2
16,NLD,3,1,1,5,1972,0,0,0
17,FRA,2,4,7,13,1972,286,57,13
19,KEN,2,3,4,9,1972,50,10,9
21,NOR,2,1,1,4,1972,144,9,8
22,,1,1,3,5,1972,0,0,0
23,NZL,1,1,1,3,1972,86,17,9
25,DNK,1,0,0,1,1972,0,0,0
26,CHE,0,3,0,3,1972,0,0,0
27,CAN,0,2,3,5,1972,283,52,9
28,,0,2,1,3,1972,0,0,0
29,BEL,0,2,0,2,1972,96,10,0
29,GRC,0,2,0,2,1972,0,0,0
31,AUT,0,1,2,3,1972,131,12,0
31,COL,0,1,2,3,1972,71,4,0
33,ARG,0,1,0,1,1972,121,2,0
33,MEX,0,1,0,1,1972,252,22,7
33,,0,1,0,1,1972,0,0,0
33,,0,1,0,1,1972,0,0,0
43,IND,0,0,1,1,1972,29,13,1
43,JAM,0,0,1,1,1972,49,1,1
3,USA,34,35,25,94,1976,301,146,107
5,JPN,9,6,10,25,1976,243,41,44
6,POL,7,6,13,26,1976,174,95,17
7,BGR,6,9,7,22,1976,0,0,0
9,ROU,4,9,14,27,1976,130,99,26
10,HUN,4,5,13,22,1976,154,94,40
11,FIN,4,2,0,6,1976,93,11,4
12,SWE,4,1,0,5,1976,131,25,7
13,GBR,3,5,5,13,1976,261,78,14
14,ITA,2,7,4,13,1976,238,43,31
15,FRA,2,3,4,9,1976,249,34,19
18,NZL,2,1,1,4,1976,66,24,8
19,,1,1,4,6,1976,0,0,0
20,CHE,1,1,2,4,1976,0,0,0
21,JAM,1,1,0,2,1976,32,1,3
21,,1,1,0,2,1976,0,0,0
21,NOR,1,1,0,2,1976,69,7,3
24,DNK,1,0,2,3,1976,0,0,0
25,MEX,1,0,1,2,1976,122,10,5
27,CAN,0,5,6,11,1976,454,69,8
28,BEL,0,3,3,6,1976,131,17,1
29,NLD,0,2,3,5,1976,0,0,0
30,PRT,0,2,0,2,1976,0,0,0
32,AUS,0,1,4,5,1976,210,52,12
33,,0,1,1,2,1976,0,0,0
37,AUT,0,0,1,1,1976,62,10,1
3,BGR,8,16,17,41,1980,0,0,0
5,ITA,8,3,4,15,1980,130,50,23
6,HUN,7,10,15,32,1980,238,124,30
7,ROU,6,6,13,25,1980,193,109,37
8,FRA,6,5,3,14,1980,137,42,21
9,GBR,5,7,9,21,1980,225,91,12
10,POL,3,14,15,32,1980,320,87,11
11,SWE,3,3,6,12,1980,135,56,10
12,FIN,3,1,4,8,1980,106,15,4
15,AUS,2,2,5,9,1980,146,28,16
16,DNK,2,1,2,5,1980,0,0,0
19,CHE,2,0,0,2,1980,0,0,0
21,AUT,1,2,1,4,1980,85,6,1
22,GRC,1,0,2,3,1980,0,0,0
23,BEL,1,0,0,1,1980,80,2,2
23,IND,1,0,0,1,1980,61,17,0
26,,0,3,2,5,1980,0,0,0
29,MEX,0,1,3,4,1980,52,20,2
30,NLD,0,1,2,3,1980,0,0,0
31,IRL,0,1,1,2,1980,51,6,0
34,JAM,0,0,3,3,1980,22,4,6
1,USA,83,61,30,174,1984,234,274,185
2,ROU,20,16,17,53,1984,44,90,59
4,CHN,15,8,9,32,1984,179,109,35
5,ITA,14,6,12,32,1984,257,66,45
6,CAN,10,18,16,44,1984,431,109,32
7,JPN,10,8,14,32,1984,274,71,20
8,NZL,8,1,2,11,1984,113,32,17
10,,6,6,7,19,1984,0,0,0
11,GBR,5,11,21,37,1984,373,104,32
12,FRA,5,7,16,28,1984,235,89,30
13,NLD,5,2,6,13,1984,0,0,0
14,AUS,4,8,12,24,1984,242,74,21
15,FIN,4,2,6,12,1984,90,15,2
16,SWE,2,11,6,19,1984,178,54,22
17,MEX,2,3,1,6,1984,141,12,2
18,MAR,2,0,0,2,1984,33,1,1
21,BEL,1,1,2,4,1984,77,8,1
22,AUT,1,1,1,3,1984,120,9,1
23,KEN,1,0,2,3,1984,63,4,0
23,PRT,1,0,2,3,1984,0,0,0
26,CHE,0,4,4,8,1984,0,0,0
27,DNK,0,3,3,6,1984,0,0,0
28,JAM,0,1,2,3,1984,53,15,7
28,NOR,0,1,2,3,1984,119,10,3
30,GRC,0,1,1,2,1984,0,0,0
33,COL,0,1,0,1,1984,47,1,0
33,IRL,0,1,0,1,1984,53,2,0
40,,0,0,3,3,1984,0,0,0
43,,0,0,1,1,1984,0,0,0
3,USA,36,31,27,94,1988,383,191,141
4,,12,10,11,33,1988,0,0,0
6,HUN,11,6,6,23,1988,221,63,31
7,BGR,10,12,13,35,1988,0,0,0
8,ROU,7,11,6,24,1988,62,64,46
9,FRA,6,4,6,16,1988,328,62,23
10,ITA,6,4,4,14,1988,267,57,50
11,CHN,5,11,12,28,1988,291,91,45
12,GBR,5,10,9,24,1988,341,93,38
13,KEN,5,2,2,9,1988,76,12,0
14,JPN,4,3,7,14,1988,331,69,12
15,AUS,3,6,5,14,1988,256,58,25
18,NZL,3,2,8,13,1988,68,29,15
19,CAN,3,2,5,10,1988,386,89,28
20,POL,2,5,9,16,1988,133,54,5
21,NOR,2,3,0,5,1988,50,25,4
22,NLD,2,2,5,9,1988,0,0,0
23,DNK,2,1,1,4,1988,0,0,0
25,FIN,1,1,2,4,1988,79,18,4
27,,1,1,0,2,1988,0,0,0
28,MAR,1,0,2,3,1988,24,3,2
29,AUT,1,0,0,1,1988,90,5,1
29,PRT,1,0,0,1,1988,0,0,0
32,SWE,0,4,7,11,1988,178,48,25
33,CHE,0,2,2,4,1988,0,0,0
34,JAM,0,2,0,2,1988,27,17,5
35,ARG,0,1,1,2,1988,116,17,1
36,IDN,0,1,0,1,1988,0,0,0
36,,0,1,0,1,1988,0,0,0
44,BEL,0,0,2,2,1988,78,6,1
44,MEX,0,0,2,2,1988,127,17,0
46,COL,0,0,1,1,1988,51,6,0
46,GRC,0,0,1,1,1988,0,0,0
2,USA,37,34,37,108,1992,362,203,169
3,DEU,33,21,28,82,1992,0,0,0
4,CHN,16,22,16,54,1992,222,113,59
7,,12,5,12,29,1992,0,0,0
8,HUN,11,12,7,30,1992,251,47,53
9,FRA,8,5,16,29,1992,356,104,26
10,AUS,7,9,11,27,1992,254,79,57
11,CAN,7,4,7,18,1992,353,62,30
12,ITA,6,5,8,19,1992,317,62,52
13,GBR,5,3,12,20,1992,382,95,35
14,ROU,4,6,8,18,1992,174,90,42
16,,4,0,5,9,1992,0,0,0
17,JPN,3,8,11,22,1992,291,91,10
18,BGR,3,7,6,16,1992,0,0,0
19,POL,3,6,10,19,1992,183,71,9
20,NLD,2,6,7,15,1992,0,0,0
21,KEN,2,4,2,8,1992,43,12,0
22,NOR,2,4,1,7,1992,84,26,4
23,,2,2,2,6,1992,0,0,0
24,IDN,2,2,1,5,1992,0,0,0
26,GRC,2,0,0,2,1992,0,0,0
27,SWE,1,7,4,12,1992,188,37,27
28,NZL,1,4,5,10,1992,137,17,21
29,FIN,1,2,2,5,1992,103,23,4
30,DNK,1,1,4,6,1992,0,0,0
31,MAR,1,1,1,3,1992,40,5,0
32,IRL,1,1,0,2,1992,64,10,3
37,CHE,1,0,0,1,1992,0,0,0
38,JAM,0,3,1,4,1992,28,15,8
41,AUT,0,2,0,2,1992,106,19,2
41,ZAF,0,2,0,2,1992,0,0,0
44,BEL,0,1,2,3,1992,89,13,1
44,HRV,0,1,2,3,1992,0,0,0
44,,0,1,2,3,1992,0,0,0
48,ISR,0,1,1,2,1992,42,2,0
49,,0,1,0,1,1992,0,0,0
49,MEX,0,1,0,1,1992,128,12,0
54,ARG,0,0,1,1,1992,104,6,1
54,COL,0,0,1,1,1992,59,2,0
1,USA,44,32,25,101,1996,421,239,179
3,DEU,20,18,27,65,1996,0,0,0
4,CHN,16,22,12,50,1996,221,162,55
5,FRA,15,7,15,37,1996,337,86,30
6,ITA,13,10,12,35,1996,331,69,60
7,AUS,9,9,23,41,1996,341,119,90
10,,7,15,5,27,1996,0,0,0
11,POL,7,5,5,17,1996,149,49,9
12,HUN,7,4,10,21,1996,214,52,49
14,ROU,4,7,9,20,1996,176,59,49
15,NLD,4,5,10,19,1996,0,0,0
16,GRC,4,4,0,8,1996,0,0,0
18,CHE,4,3,0,7,1996,0,0,0
19,DNK,4,1,1,6,1996,0,0,0
19,,4,1,1,6,1996,0,0,0
21,CAN,3,11,8,22,1996,324,70,14
22,BGR,3,7,5,15,1996,0,0,0
23,JPN,3,6,5,14,1996,352,88,8
24,KAZ,3,4,4,11,1996,122,14,6
26,NZL,3,2,1,6,1996,100,14,15
27,ZAF,3,1,1,5,1996,0,0,0
28,IRL,3,0,1,4,1996,91,4,4
29,SWE,2,4,2,8,1996,157,40,36
30,NOR,2,2,3,7,1996,74,31,11
31,BEL,2,2,2,6,1996,65,16,0
33,,2,1,2,5,1996,0,0,0
36,GBR,1,8,6,15,1996,287,75,29
38,KEN,1,4,3,8,1996,40,14,0
39,JAM,1,3,2,6,1996,34,24,11
40,FIN,1,2,1,4,1996,82,20,3
41,IDN,1,1,2,4,1996,0,0,0
43,,1,1,1,3,1996,0,0,0
43,SVK,1,1,1,3,1996,84,12,2
45,HRV,1,1,0,2,1996,0,0,0
47,PRT,1,0,1,2,1996,0,0,0
54,ARG,0,2,1,3,1996,179,36,6
57,AUT,0,1,2,3,1996,82,10,0
61,AZE,0,1,0,1,1996,19,4,1
61,,0,1,0,1,1996,0,0,0
68,GEO,0,0,2,2,1996,35,5,2
68,MAR,0,0,2,2,1996,31,6,1
71,IND,0,0,1,1,1996,52,2,0
71,ISR,0,0,1,1,1996,35,2,1
71,MEX,0,0,1,1,1996,103,8,0
1,USA,37,24,32,93,2000,353,242,169
3,CHN,28,16,14,58,2000,212,128,74
4,AUS,16,25,17,58,2000,507,161,120
5,DEU,13,17,26,56,2000,0,0,0
6,FRA,13,14,11,38,2000,316,111,43
7,ITA,13,8,13,34,2000,311,92,54
8,NLD,12,9,4,25,2000,0,0,0
10,GBR,11,10,7,28,2000,291,85,39
11,ROU,11,6,9,26,2000,134,55,63
12,,8,10,10,28,2000,0,0,0
13,HUN,8,6,3,17,2000,149,52,37
14,POL,6,5,3,14,2000,184,38,18
15,JPN,5,8,5,18,2000,277,74,12
16,BGR,5,6,2,13,2000,0,0,0
17,GRC,4,6,3,13,2000,0,0,0
18,SWE,4,5,3,12,2000,137,35,26
19,NOR,4,3,3,10,2000,60,42,13
22,KAZ,3,4,0,7,2000,138,15,5
24,CAN,3,3,8,14,2000,347,65,10
26,,3,0,2,5,2000,0,0,0
27,,3,0,1,4,2000,0,0,0
29,KEN,2,3,2,7,2000,51,6,2
30,DNK,2,3,1,6,2000,0,0,0
31,FIN,2,1,1,4,2000,76,12,0
32,AUT,2,1,0,3,2000,101,11,2
34,AZE,2,0,1,3,2000,25,5,2
37,CHE,1,6,2,9,2000,0,0,0
38,IDN,1,3,2,6,2000,0,0,0
39,SVK,1,3,1,5,2000,112,14,6
40,MEX,1,2,3,6,2000,83,15,0
46,NZL,1,0,3,4,2000,161,8,8
49,HRV,1,0,1,2,2000,0,0,0
50,COL,1,0,0,1,2000,50,4,0
54,JAM,0,6,3,9,2000,31,22,12
55,BEL,0,2,3,5,2000,78,16,0
55,ZAF,0,2,3,5,2000,0,0,0
57,ARG,0,2,2,4,2000,133,24,8
58,,0,1,4,5,2000,0,0,0
58,MAR,0,1,4,5,2000,49,5,1
60,,0,1,3,4,2000,0,0,0
64,IRL,0,1,0,1,2000,72,4,0
