,Rank,NOC,Gold,Silver,Bronze,Total,Year
70,2,SWE,19,20,25,64,1920
71,3,FIN,15,10,9,34,1920
72,4,GBR,14,15,13,42,1920
73,5,BEL,14,11,11,36,1920
74,6,NOR,13,9,9,31,1920
75,7,ITA,13,5,5,23,1920
76,8,FRA,9,19,13,41,1920
77,9,NLD,4,2,5,11,1920
78,10,DNK,3,9,1,13,1920
79,11,ZAF,3,4,3,10,1920
80,12,CAN,3,3,3,9,1920
81,13,CHE,2,2,7,11,1920
82,16,AUS,0,2,1,3,1920
83,17,JPN,0,2,0,2,1920
84,19,GRC,0,1,0,1,1920
85,22,NZL,0,0,1,1,1920
86,1,USA,45,27,27,99,1924
87,2,FIN,14,13,10,37,1924
88,3,FRA,13,15,10,38,1924
89,4,GBR,9,13,12,34,1924
90,5,ITA,8,3,5,16,1924
91,6,CHE,7,8,10,25,1924
92,7,NOR,5,2,3,10,1924
93,8,SWE,4,13,12,29,1924
94,9,NLD,4,1,5,10,1924
95,10,BEL,3,7,3,13,1924
96,11,AUS,3,1,2,6,1924
97,12,DNK,2,5,2,9,1924
98,13,HUN,2,3,4,9,1924
99,16,ARG,1,3,2,6,1924
100,18,ZAF,1,1,1,3,1924
101,20,AUT,0,3,1,4,1924
102,20,CAN,0,3,1,4,1924
103,22,POL,0,1,1,2,1924
104,23,JPN,0,0,1,1,1924
105,23,NZL,0,0,1,1,1924
106,23,PRT,0,0,1,1,1924
107,23,ROU,0,0,1,1,1924
108,1,USA,22,18,16,56,1928
109,2,DEU,10,7,14,31,1928
110,3,FIN,8,8,9,25,1928
111,4,SWE,7,6,12,25,1928
112,5,ITA,7,5,7,19,1928
113,6,CHE,7,4,4,15,1928
114,7,FRA,6,10,5,21,1928
115,8,NLD,6,9,4,19,1928
116,9,HUN,4,5,0,9,1928
117,10,CAN,4,4,7,15,1928
118,11,GBR,3,10,7,20,1928
119,12,ARG,3,3,1,7,1928
120,13,DNK,3,1,2,6,1928
121,15,JPN,2,2,1,5,1928
122,18,AUT,2,0,1,3,1928
123,19,AUS,1,2,1,4,1928
124,19,NOR,1,2,1,4,1928
125,21,POL,1,1,3,5,1928
126,23,ZAF,1,0,2,3,1928
127,24,IND,1,0,0,1,1928
128,24,IRL,1,0,0,1,1928
129,24,NZL,1,0,0,1,1928
130,29,BEL,0,1,2,3,1928
131,32,PRT,0,0,1,1,1928
132,1,USA,44,36,30,110,1932
133,2,ITA,12,12,12,36,1932
134,3,FRA,11,5,4,20,1932
135,4,SWE,10,5,9,24,1932
136,5,JPN,7,7,4,18,1932
137,6,HUN,6,5,5,16,1932
138,7,DEU,5,12,7,24,1932
139,8,FIN,5,8,12,25,1932
140,9,GBR,5,7,5,17,1932
141,10,POL,3,2,4,9,1932
142,11,AUS,3,1,1,5,1932
143,12,ARG,3,1,0,4,1932
144,13,CAN,2,5,9,16,1932
145,14,NLD,2,5,1,8,1932
146,15,ZAF,2,0,3,5,1932
147,16,IRL,2,0,0,2,1932
148,18,AUT,1,1,3,5,1932
149,19,IND,1,0,0,1,1932
150,20,DNK,0,5,3,8,1932
151,21,MEX,0,2,0,2,1932
152,22,NZL,0,1,0,1,1932
153,22,CHE,0,1,0,1,1932
154,26,BEL,0,0,1,1,1932
155,1,DEU,38,31,32,101,1936
156,2,USA,24,21,12,57,1936
157,3,HUN,10,1,5,16,1936
158,4,ITA,9,13,5,27,1936
159,5,FIN,8,6,6,20,1936
160,6,FRA,7,6,6,19,1936
161,7,SWE,6,5,10,21,1936
162,8,JPN,6,4,10,20,1936
163,9,NLD,6,4,7,17,1936
164,10,AUT,5,7,5,17,1936
165,11,CHE,4,9,5,18,1936
166,12,GBR,4,7,3,14,1936
167,14,ARG,2,2,3,7,1936
168,17,CAN,1,3,5,9,1936
169,18,NOR,1,3,2,6,1936
170,19,,1,0,1,2,1936
171,20,IND,1,0,0,1,1936
172,20,NZL,1,0,0,1,1936
173,22,POL,0,4,5,9,1936
174,23,DNK,0,2,3,5,1936
175,25,ROU,0,1,0,1,1936
176,25,ZAF,0,1,0,1,1936
177,28,BEL,0,0,3,3,1936
178,28,MEX,0,0,3,3,1936
179,30,AUS,0,0,1,1,1936
180,30,PRT,0,0,1,1,1936
181,1,USA,38,27,19,84,1948
182,2,SWE,16,11,17,44,1948
183,3,FRA,10,6,13,29,1948
184,4,HUN,10,5,12,27,1948
185,5,ITA,8,11,8,27,1948
186,6,FIN,8,7,5,20,1948
187,7,,6,4,2,12,1948
188,9,CHE,5,10,5,20,1948
189,10,DNK,5,7,8,20,1948
190,11,NLD,5,2,9,16,1948
191,12,GBR,3,14,6,23,1948
192,13,ARG,3,3,1,7,1948
193,14,AUS,2,6,5,13,1948
194,15,BEL,2,2,3,7,1948
195,17,MEX,2,1,2,5,1948
196,18,ZAF,2,1,1,4,1948
197,19,NOR,1,3,3,7,1948
198,20,JAM,1,2,0,3,1948
199,21,AUT,1,0,3,4,1948
200,22,IND,1,0,0,1,1948
201,25,CAN,0,1,2,3,1948
202,26,PRT,0,1,1,2,1948
203,32,,0,0,2,2,1948
204,34,,0,0,1,1,1948
205,34,POL,0,0,1,1,1948
206,1,USA,40,19,17,76,1952
207,3,HUN,16,10,16,42,1952
208,4,SWE,12,13,10,35,1952
209,5,ITA,8,9,4,21,1952
210,7,FRA,6,6,6,18,1952
211,8,FIN,6,3,13,22,1952
212,9,AUS,6,2,3,11,1952
213,10,NOR,3,2,0,5,1952
214,11,CHE,2,6,6,14,1952
215,12,ZAF,2,4,4,10,1952
216,13,JAM,2,3,0,5,1952
217,14,BEL,2,2,0,4,1952
218,15,DNK,2,1,3,6,1952
219,16,,2,0,1,3,1952
220,17,JPN,1,6,2,9,1952
221,18,GBR,1,2,8,11,1952
222,19,ARG,1,2,2,5,1952
223,20,POL,1,2,1,4,1952
224,21,CAN,1,2,0,3,1952
225,23,ROU,1,1,2,4,1952
226,24,NZL,1,0,2,3,1952
227,26,IND,1,0,1,2,1952
228,28,DEU,0,7,17,24,1952
229,29,NLD,0,5,0,5,1952
230,30,,0,3,4,7,1952
231,32,AUT,0,1,1,2,1952
232,34,IRL,0,1,0,1,1952
233,34,MEX,0,1,0,1,1952
234,37,,0,0,2,2,1952
235,40,BGR,0,0,1,1,1952
236,40,PRT,0,0,1,1,1952
237,2,USA,32,25,17,74,1956
238,3,AUS,13,8,14,35,1956
239,4,HUN,9,10,7,26,1956
240,5,ITA,8,8,9,25,1956
241,6,SWE,8,5,6,19,1956
242,8,GBR,6,7,11,24,1956
243,9,ROU,5,3,5,13,1956
244,10,JPN,4,10,5,19,1956
245,11,FRA,4,4,6,14,1956
246,12,,3,2,2,7,1956
247,13,FIN,3,1,11,15,1956
248,14,,2,2,1,5,1956
249,15,CAN,2,1,3,6,1956
250,16,NZL,2,0,0,2,1956
251,17,POL,1,4,4,9,1956
252,19,BGR,1,3,1,5,1956
253,20,DNK,1,2,1,4,1956
254,21,IRL,1,1,3,5,1956
255,22,NOR,1,0,2,3,1956
256,23,MEX,1,0,1,2,1956
257,24,IND,1,0,0,1,1956
258,28,BEL,0,2,0,2,1956
259,29,ARG,0,1,1,2,1956
260,29,,0,1,1,2,1956
261,33,ZAF,0,0,4,4,1956
262,34,AUT,0,0,2,2,1956
263,35,GRC,0,0,1,1,1956
264,35,CHE,0,0,1,1,1956
265,2,USA,34,21,16,71,1960
266,3,ITA,13,10,13,36,1960
267,5,AUS,8,8,6,22,1960
268,6,,7,2,0,9,1960
269,7,HUN,6,8,7,21,1960
270,8,JPN,4,7,7,18,1960
271,9,POL,4,6,11,21,1960
272,11,ROU,3,1,6,10,1960
273,12,GBR,2,6,12,20,1960
274,13,DNK,2,3,1,6,1960
275,14,NZL,2,0,1,3,1960
276,15,BGR,1,3,3,7,1960
277,16,SWE,1,2,3,6,1960
278,17,FIN,1,1,3,5,1960
279,18,AUT,1,1,0,2,1960
280,21,GRC,1,0,0,1,1960
281,21,NOR,1,0,0,1,1960
282,24,CHE,0,3,3,6,1960
283,25,FRA,0,2,3,5,1960
284,26,BEL,0,2,2,4,1960
285,27,,0,1,3,4,1960
286,28,NLD,0,1,2,3,1960
287,28,ZAF,0,1,2,3,1960
288,30,ARG,0,1,1,2,1960
289,32,CAN,0,1,0,1,1960
290,32,IND,0,1,0,1,1960
291,32,MAR,0,1,0,1,1960
292,32,PRT,0,1,0,1,1960
293,41,MEX,0,0,1,1,1960
294,1,USA,36,26,28,90,1964
295,3,JPN,16,5,8,29,1964
296,5,ITA,10,10,7,27,1964
297,6,HUN,10,7,5,22,1964
298,7,POL,7,6,10,23,1964
299,8,AUS,6,2,10,18,1964
300,10,GBR,4,12,2,18,1964
301,11,BGR,3,5,2,10,1964
302,12,FIN,3,0,2,5,1964
303,12,NZL,3,0,2,5,1964
304,14,ROU,2,4,6,12,1964
305,15,NLD,2,4,4,10,1964
306,16,,2,3,1,6,1964
307,17,SWE,2,2,4,8,1964
308,18,DNK,2,1,3,6,1964
309,20,BEL,2,0,1,3,1964
310,21,FRA,1,8,6,15,1964
311,22,CAN,1,2,1,4,1964
312,22,CHE,1,2,1,4,1964
313,24,IND,1,0,0,1,1964
314,27,,0,2,1,3,1964
315,30,ARG,0,1,0,1,1964
316,34,,0,0,2,2,1964
317,35,IRL,0,0,1,1,1964
318,35,KEN,0,0,1,1,1964
319,35,MEX,0,0,1,1,1964
320,1,USA,45,28,34,107,1968
321,3,JPN,11,7,7,25,1968
322,4,HUN,10,10,12,32,1968
323,6,FRA,7,3,5,15,1968
324,9,AUS,5,7,5,17,1968
325,10,GBR,5,5,3,13,1968
326,11,POL,5,2,11,18,1968
327,12,ROU,4,6,5,15,1968
328,13,ITA,3,4,9,16,1968
329,14,KEN,3,4,2,9,1968
330,15,MEX,3,3,3,9,1968
331,17,NLD,3,3,1,7,1968
332,18,BGR,2,4,3,9,1968
333,19,,2,1,2,5,1968
334,20,SWE,2,1,1,4,1968
335,21,,2,0,0,2,1968
336,22,DNK,1,4,3,8,1968
337,23,CAN,1,3,1,5,1968
338,24,FIN,1,2,1,4,1968
339,25,NOR,1,1,0,2,1968
340,27,NZL,1,0,2,3,1968
341,32,AUT,0,2,2,4,1968
342,33,CHE,0,1,4,5,1968
343,36,BEL,0,1,1,2,1968
344,36,,0,1,1,2,1968
345,39,JAM,0,1,0,1,1968
346,41,ARG,0,0,2,2,1968
347,42,GRC,0,0,1,1,1968
348,42,IND,0,0,1,1,1968
349,2,USA,33,31,30,94,1972
350,5,JPN,13,8,8,29,1972
351,6,AUS,8,7,2,17,1972
352,7,POL,7,5,9,21,1972
353,8,HUN,6,13,16,35,1972
354,9,BGR,6,10,5,21,1972
355,10,ITA,5,3,10,18,1972
356,11,SWE,4,6,6,16,1972
357,12,GBR,4,5,9,18,1972
358,13,ROU,3,6,7,16,1972
359,14,FIN,3,1,4,8,1972
360,16,NLD,3,1,1,5,1972
361,17,FRA,2,4,7,13,1972
362,19,KEN,2,3,4,9,1972
363,21,NOR,2,1,1,4,1972
364,22,,1,1,3,5,1972
365,23,NZL,1,1,1,3,1972
366,25,DNK,1,0,0,1,1972
367,26,CHE,0,3,0,3,1972
368,27,CAN,0,2,3,5,1972
369,28,,0,2,1,3,1972
370,29,BEL,0,2,0,2,1972
371,29,GRC,0,2,0,2,1972
372,31,AUT,0,1,2,3,1972
373,31,COL,0,1,2,3,1972
374,33,ARG,0,1,0,1,1972
375,33,MEX,0,1,0,1,1972
376,33,,0,1,0,1,1972
377,33,,0,1,0,1,1972
378,43,IND,0,0,1,1,1972
379,43,JAM,0,0,1,1,1972
380,3,USA,34,35,25,94,1976
381,5,JPN,9,6,10,25,1976
382,6,POL,7,6,13,26,1976
383,7,BGR,6,9,7,22,1976
384,9,ROU,4,9,14,27,1976
385,10,HUN,4,5,13,22,1976
386,11,FIN,4,2,0,6,1976
387,12,SWE,4,1,0,5,1976
388,13,GBR,3,5,5,13,1976
389,14,ITA,2,7,4,13,1976
390,15,FRA,2,3,4,9,1976
391,18,NZL,2,1,1,4,1976
392,19,,1,1,4,6,1976
393,20,CHE,1,1,2,4,1976
394,21,JAM,1,1,0,2,1976
395,21,,1,1,0,2,1976
396,21,NOR,1,1,0,2,1976
397,24,DNK,1,0,2,3,1976
398,25,MEX,1,0,1,2,1976
399,27,CAN,0,5,6,11,1976
400,28,BEL,0,3,3,6,1976
401,29,NLD,0,2,3,5,1976
402,30,PRT,0,2,0,2,1976
403,32,AUS,0,1,4,5,1976
404,33,,0,1,1,2,1976
405,37,AUT,0,0,1,1,1976
406,3,BGR,8,16,17,41,1980
407,5,ITA,8,3,4,15,1980
408,6,HUN,7,10,15,32,1980
409,7,ROU,6,6,13,25,1980
410,8,FRA,6,5,3,14,1980
411,9,GBR,5,7,9,21,1980
412,10,POL,3,14,15,32,1980
413,11,SWE,3,3,6,12,1980
414,12,FIN,3,1,4,8,1980
415,15,AUS,2,2,5,9,1980
416,16,DNK,2,1,2,5,1980
417,19,CHE,2,0,0,2,1980
418,21,AUT,1,2,1,4,1980
419,22,GRC,1,0,2,3,1980
420,23,BEL,1,0,0,1,1980
421,23,IND,1,0,0,1,1980
422,26,,0,3,2,5,1980
423,29,MEX,0,1,3,4,1980
424,30,NLD,0,1,2,3,1980
425,31,IRL,0,1,1,2,1980
426,34,JAM,0,0,3,3,1980
427,1,USA,83,61,30,174,1984
428,2,ROU,20,16,17,53,1984
429,4,CHN,15,8,9,32,1984
430,5,ITA,14,6,12,32,1984
431,6,CAN,10,18,16,44,1984
432,7,JPN,10,8,14,32,1984
433,8,NZL,8,1,2,11,1984
434,10,,6,6,7,19,1984
435,11,GBR,5,11,21,37,1984
436,12,FRA,5,7,16,28,1984
437,13,NLD,5,2,6,13,1984
438,14,AUS,4,8,12,24,1984
439,15,FIN,4,2,6,12,1984
440,16,SWE,2,11,6,19,1984
441,17,MEX,2,3,1,6,1984
442,18,MAR,2,0,0,2,1984
443,21,BEL,1,1,2,4,1984
444,22,AUT,1,1,1,3,1984
445,23,KEN,1,0,2,3,1984
446,23,PRT,1,0,2,3,1984
447,26,CHE,0,4,4,8,1984
448,27,DNK,0,3,3,6,1984
449,28,JAM,0,1,2,3,1984
450,28,NOR,0,1,2,3,1984
451,30,GRC,0,1,1,2,1984
452,33,COL,0,1,0,1,1984
453,33,IRL,0,1,0,1,1984
454,40,,0,0,3,3,1984
455,43,,0,0,1,1,1984
456,3,USA,36,31,27,94,1988
457,4,,12,10,11,33,1988
458,6,HUN,11,6,6,23,1988
459,7,BGR,10,12,13,35,1988
460,8,ROU,7,11,6,24,1988
461,9,FRA,6,4,6,16,1988
462,10,ITA,6,4,4,14,1988
463,11,CHN,5,11,12,28,1988
464,12,GBR,5,10,9,24,1988
465,13,KEN,5,2,2,9,1988
466,14,JPN,4,3,7,14,1988
467,15,AUS,3,6,5,14,1988
468,18,NZL,3,2,8,13,1988
469,19,CAN,3,2,5,10,1988
470,20,POL,2,5,9,16,1988
471,21,NOR,2,3,0,5,1988
472,22,NLD,2,2,5,9,1988
473,23,DNK,2,1,1,4,1988
474,25,FIN,1,1,2,4,1988
475,27,,1,1,0,2,1988
476,28,MAR,1,0,2,3,1988
477,29,AUT,1,0,0,1,1988
478,29,PRT,1,0,0,1,1988
479,32,SWE,0,4,7,11,1988
480,33,CHE,0,2,2,4,1988
481,34,JAM,0,2,0,2,1988
482,35,ARG,0,1,1,2,1988
483,36,IDN,0,1,0,1,1988
484,36,,0,1,0,1,1988
485,44,BEL,0,0,2,2,1988
486,44,MEX,0,0,2,2,1988
487,46,COL,0,0,1,1,1988
488,46,GRC,0,0,1,1,1988
489,2,USA,37,34,37,108,1992
490,3,DEU,33,21,28,82,1992
491,4,CHN,16,22,16,54,1992
492,7,,12,5,12,29,1992
493,8,HUN,11,12,7,30,1992
494,9,FRA,8,5,16,29,1992
495,10,AUS,7,9,11,27,1992
496,11,CAN,7,4,7,18,1992
497,12,ITA,6,5,8,19,1992
498,13,GBR,5,3,12,20,1992
499,14,ROU,4,6,8,18,1992
500,16,,4,0,5,9,1992
501,17,JPN,3,8,11,22,1992
502,18,BGR,3,7,6,16,1992
503,19,POL,3,6,10,19,1992
504,20,NLD,2,6,7,15,1992
505,21,KEN,2,4,2,8,1992
506,22,NOR,2,4,1,7,1992
507,23,,2,2,2,6,1992
508,24,IDN,2,2,1,5,1992
509,26,GRC,2,0,0,2,1992
510,27,SWE,1,7,4,12,1992
511,28,NZL,1,4,5,10,1992
512,29,FIN,1,2,2,5,1992
513,30,DNK,1,1,4,6,1992
514,31,MAR,1,1,1,3,1992
515,32,IRL,1,1,0,2,1992
516,37,CHE,1,0,0,1,1992
517,38,JAM,0,3,1,4,1992
518,41,AUT,0,2,0,2,1992
519,41,ZAF,0,2,0,2,1992
520,44,BEL,0,1,2,3,1992
521,44,HRV,0,1,2,3,1992
522,44,,0,1,2,3,1992
523,48,ISR,0,1,1,2,1992
524,49,,0,1,0,1,1992
525,49,MEX,0,1,0,1,1992
526,54,ARG,0,0,1,1,1992
527,54,COL,0,0,1,1,1992
528,1,USA,44,32,25,101,1996
529,3,DEU,20,18,27,65,1996
530,4,CHN,16,22,12,50,1996
531,5,FRA,15,7,15,37,1996
532,6,ITA,13,10,12,35,1996
533,7,AUS,9,9,23,41,1996
534,10,,7,15,5,27,1996
535,11,POL,7,5,5,17,1996
536,12,HUN,7,4,10,21,1996
537,14,ROU,4,7,9,20,1996
538,15,NLD,4,5,10,19,1996
539,16,GRC,4,4,0,8,1996
540,18,CHE,4,3,0,7,1996
541,19,DNK,4,1,1,6,1996
542,19,,4,1,1,6,1996
543,21,CAN,3,11,8,22,1996
544,22,BGR,3,7,5,15,1996
545,23,JPN,3,6,5,14,1996
546,24,KAZ,3,4,4,11,1996
547,26,NZL,3,2,1,6,1996
548,27,ZAF,3,1,1,5,1996
549,28,IRL,3,0,1,4,1996
550,29,SWE,2,4,2,8,1996
551,30,NOR,2,2,3,7,1996
552,31,BEL,2,2,2,6,1996
553,33,,2,1,2,5,1996
554,36,GBR,1,8,6,15,1996
555,38,KEN,1,4,3,8,1996
556,39,JAM,1,3,2,6,1996
557,40,FIN,1,2,1,4,1996
558,41,IDN,1,1,2,4,1996
559,43,,1,1,1,3,1996
560,43,SVK,1,1,1,3,1996
561,45,HRV,1,1,0,2,1996
562,47,PRT,1,0,1,2,1996
563,54,ARG,0,2,1,3,1996
564,57,AUT,0,1,2,3,1996
565,61,AZE,0,1,0,1,1996
566,61,,0,1,0,1,1996
567,68,GEO,0,0,2,2,1996
568,68,MAR,0,0,2,2,1996
569,71,IND,0,0,1,1,1996
570,71,ISR,0,0,1,1,1996
571,71,MEX,0,0,1,1,1996
572,1,USA,37,24,32,93,2000
573,3,CHN,28,16,14,58,2000
574,4,AUS,16,25,17,58,2000
575,5,DEU,13,17,26,56,2000
576,6,FRA,13,14,11,38,2000
577,7,ITA,13,8,13,34,2000
578,8,NLD,12,9,4,25,2000
579,10,GBR,11,10,7,28,2000
580,11,ROU,11,6,9,26,2000
581,12,,8,10,10,28,2000
582,13,HUN,8,6,3,17,2000
583,14,POL,6,5,3,14,2000
584,15,JPN,5,8,5,18,2000
585,16,BGR,5,6,2,13,2000
586,17,GRC,4,6,3,13,2000
587,18,SWE,4,5,3,12,2000
588,19,NOR,4,3,3,10,2000
589,22,KAZ,3,4,0,7,2000
590,24,CAN,3,3,8,14,2000
591,26,,3,0,2,5,2000
592,27,,3,0,1,4,2000
593,29,KEN,2,3,2,7,2000
594,30,DNK,2,3,1,6,2000
595,31,FIN,2,1,1,4,2000
596,32,AUT,2,1,0,3,2000
597,34,AZE,2,0,1,3,2000
598,37,CHE,1,6,2,9,2000
599,38,IDN,1,3,2,6,2000
600,39,SVK,1,3,1,5,2000
601,40,MEX,1,2,3,6,2000
602,46,NZL,1,0,3,4,2000
603,49,HRV,1,0,1,2,2000
604,50,COL,1,0,0,1,2000
605,54,JAM,0,6,3,9,2000
606,55,BEL,0,2,3,5,2000
607,55,ZAF,0,2,3,5,2000
608,57,ARG,0,2,2,4,2000
609,58,,0,1,4,5,2000
610,58,MAR,0,1,4,5,2000
611,60,,0,1,3,4,2000
612,64,IRL,0,1,0,1,2000
613,68,GEO,0,0,6,6,2000
614,69,PRT,0,0,2,2,2000
615,71,IND,0,0,1,1,2000
616,71,ISR,0,0,1,1,2000
617,1,USA,36,39,26,101,2004
618,2,CHN,32,17,14,63,2004
619,4,AUS,17,16,17,50,2004
620,5,JPN,16,9,12,37,2004
621,6,DEU,13,16,20,49,2004
622,7,FRA,11,9,13,33,2004
623,8,ITA,10,11,11,32,2004
624,9,,9,12,9,30,2004
625,10,GBR,9,9,12,30,2004
626,12,HUN,8,6,3,17,2004
627,14,ROU,8,5,6,19,2004
628,15,GRC,6,6,4,16,2004
629,17,NOR,5,0,1,6,2004
630,18,NLD,4,9,9,22,2004
631,19,SWE,4,2,1,7,2004
632,21,CAN,3,6,3,12,2004
633,22,,3,3,4,10,2004
634,23,POL,3,2,5,10,2004
635,24,NZL,3,2,0,5,2004
636,27,AUT,2,4,1,7,2004
637,29,,2,2,2,6,2004
638,29,SVK,2,2,2,6,2004
639,31,,2,2,1,5,2004
640,32,GEO,2,2,0,4,2004
641,33,BGR,2,1,9,12,2004
642,34,DNK,2,1,5,8,2004
643,35,JAM,2,1,2,5,2004
644,37,MAR,2,1,0,3,2004
645,38,ARG,2,0,4,6,2004
646,40,KAZ,1,4,3,8,2004
647,41,KEN,1,4,2,7,2004
648,43,ZAF,1,3,2,6,2004
649,44,HRV,1,2,2,5,2004
650,46,CHE,1,1,3,5,2004
651,48,IDN,1,1,2,4,2004
652,50,AZE,1,0,4,5,2004
653,51,BEL,1,0,2,3,2004
654,52,ISR,1,0,1,2,2004
655,57,,0,4,1,5,2004
656,59,MEX,0,3,1,4,2004
657,60,PRT,0,2,1,3,2004
658,61,FIN,0,2,0,2,2004
659,65,IND,0,1,0,1,2004
660,68,COL,0,0,2,2,2004
661,1,CHN,48,22,30,100,2008
662,2,USA,36,39,37,112,2008
663,4,GBR,19,13,19,51,2008
664,5,DEU,16,11,14,41,2008
665,6,AUS,14,15,17,46,2008
666,7,,13,11,8,32,2008
667,8,JPN,9,8,8,25,2008
668,9,ITA,8,9,10,27,2008
669,10,FRA,7,16,20,43,2008
670,11,NLD,7,5,4,16,2008
671,13,KEN,6,4,6,16,2008
672,15,JAM,5,4,2,11,2008
673,16,POL,4,5,2,11,2008
674,18,ROU,4,1,4,9,2008
675,20,CAN,3,9,8,20,2008
676,21,HUN,3,5,2,10,2008
677,22,NOR,3,5,1,9,2008
678,26,SVK,3,3,0,6,2008
679,27,NZL,3,2,4,9,2008
680,28,GEO,3,2,2,7,2008
681,29,KAZ,2,3,4,9,2008
682,30,DNK,2,2,3,7,2008
683,31,,2,2,2,6,2008
684,34,CHE,2,1,4,7,2008
685,35,ARG,2,0,4,6,2008
686,36,MEX,2,0,2,4,2008
687,37,BEL,2,0,0,2,2008
688,40,AZE,1,1,4,6,2008
689,40,IDN,1,1,4,6,2008
690,42,BGR,1,1,3,5,2008
691,42,,1,1,3,5,2008
692,44,,1,1,2,4,2008
693,44,FIN,1,1,2,4,2008
694,47,PRT,1,1,0,2,2008
695,51,IND,1,0,2,3,2008
696,52,,1,0,1,2,2008
697,56,SWE,0,4,1,5,2008
698,59,HRV,0,2,3,5,2008
699,60,COL,0,2,1,3,2008
700,60,GRC,0,2,1,3,2008
701,64,AUT,0,1,2,3,2008
702,64,IRL,0,1,2,3,2008
703,68,MAR,0,1,1,2,2008
704,72,ZAF,0,1,0,1,2008
705,82,ISR,0,0,1,1,2008
706,1,USA,48,26,30,104,2012
707,2,CHN,39,31,22,92,2012
708,3,GBR,29,18,18,65,2012
709,5,,13,9,9,31,2012
710,6,DEU,11,20,13,44,2012
711,7,FRA,11,11,13,35,2012
712,8,AUS,8,15,12,35,2012
713,9,ITA,8,9,11,28,2012
714,10,HUN,8,4,6,18,2012
715,11,JPN,7,14,17,38,2012
716,12,,7,5,1,13,2012
717,13,NLD,6,6,8,20,2012
718,14,NZL,6,2,5,13,2012
719,18,JAM,4,5,4,13,2012
720,20,ZAF,4,1,1,6,2012
721,21,,4,0,2,6,2012
722,23,KAZ,3,2,6,11,2012
723,23,POL,3,2,6,11,2012
724,26,HRV,3,1,2,6,2012
725,27,CAN,2,6,10,18,2012
726,29,KEN,2,4,7,13,2012
727,30,DNK,2,4,3,9,2012
728,31,ROU,2,4,1,7,2012
729,32,AZE,2,2,5,9,2012
730,33,CHE,2,2,0,4,2012
731,34,NOR,2,1,1,4,2012
732,37,SWE,1,4,3,8,2012
733,38,COL,1,3,5,9,2012
734,39,MEX,1,3,4,8,2012
735,40,GEO,1,2,3,6,2012
736,41,IRL,1,1,4,6,2012
737,42,ARG,1,1,2,4,2012
738,46,,1,1,1,3,2012
739,48,,1,0,1,2,2012
740,57,IND,0,2,4,6,2012
741,60,BGR,0,2,1,3,2012
742,60,FIN,0,2,1,3,2012
743,60,IDN,0,2,1,3,2012
744,63,SVK,0,1,3,4,2012
745,64,BEL,0,1,2,3,2012
